Date,Price
2024-04-20,133.53
2024-04-21,141.84
2024-04-22,141.95
2024-04-23,154.51
2024-04-24,142.65
2024-04-25,147.37
2024-04-26,148.7
2024-04-27,146.69
2024-04-28,162.41
2024-04-29,164.99
2024-04-30,169.89
2024-05-01,166.09
2024-05-02,182.18
2024-05-03,172.33
2024-05-04,185.93
2024-05-05,196.95
2024-05-06,183.3
2024-05-07,186.84
2024-05-08,190.72
2024-05-09,187.38
2024-05-10,181.0
2024-05-11,187.18
2024-05-12,178.97
2024-05-13,183.58
2024-05-14,173.19
2024-05-15,181.93
2024-05-16,166.65
2024-05-17,165.53
2024-05-18,168.14
2024-05-19,155.36
2024-05-20,160.74
2024-05-21,164.99
2024-05-22,150.09
2024-05-23,159.6
2024-05-24,161.4
2024-05-25,166.26
2024-05-26,159.17
2024-05-27,162.41
2024-05-28,175.79
2024-05-29,179.19
2024-05-30,183.67
2024-05-31,188.86
2024-06-01,188.25
2024-06-02,196.98
2024-06-03,200.94
2024-06-04,198.91
2024-06-05,214.06
2024-06-06,208.52
2024-06-07,200.75
2024-06-08,209.67
2024-06-09,200.36
2024-06-10,207.26
2024-06-11,206.56
2024-06-12,193.59
2024-06-13,199.09
2024-06-14,192.72
2024-06-15,191.16
2024-06-16,193.11
2024-06-17,179.33
2024-06-18,174.23
2024-06-19,171.64
2024-06-20,170.86
2024-06-21,174.23
2024-06-22,176.87
2024-06-23,177.97
2024-06-24,182.97
2024-06-25,181.91
2024-06-26,192.76
2024-06-27,188.34
2024-06-28,207.79
2024-06-29,202.03
2024-06-30,199.32
2024-07-01,202.78
2024-07-02,214.72
2024-07-03,214.84
2024-07-04,222.54
2024-07-05,223.59
2024-07-06,222.27
2024-07-07,218.95
2024-07-08,215.29
2024-07-09,219.48
2024-07-10,224.09
2024-07-11,218.32
2024-07-12,207.95
2024-07-13,211.62
2024-07-14,209.07
2024-07-15,199.11
2024-07-16,200.88
2024-07-17,197.33
2024-07-18,188.76
2024-07-19,194.36
2024-07-20,194.22
2024-07-21,196.51
2024-07-22,196.92
2024-07-23,186.18
2024-07-24,190.63
2024-07-25,200.9
2024-07-26,204.55
2024-07-27,208.73
2024-07-28,229.94
2024-07-29,218.24
2024-07-30,225.77
2024-07-31,229.39
2024-08-01,232.05
2024-08-02,230.87
2024-08-03,239.25
2024-08-04,233.84
2024-08-05,237.94
2024-08-06,237.24
2024-08-07,239.76
2024-08-08,249.77
2024-08-09,226.96
2024-08-10,237.17
2024-08-11,222.6
2024-08-12,224.88
2024-08-13,229.07
2024-08-14,220.34
2024-08-15,211.2
2024-08-16,209.94
2024-08-17,214.36
2024-08-18,205.4
2024-08-19,208.98
2024-08-20,207.81
2024-08-21,204.87
2024-08-22,220.27
2024-08-23,214.97
2024-08-24,204.68
2024-08-25,219.4
2024-08-26,219.33
2024-08-27,231.42
2024-08-28,227.91
2024-08-29,236.0
2024-08-30,243.63
2024-08-31,249.6
2024-09-01,242.93
2024-09-02,250.26
2024-09-03,251.81
2024-09-04,252.34
2024-09-05,264.98
2024-09-06,257.86
2024-09-07,248.38
2024-09-08,257.36
2024-09-09,260.83
2024-09-10,252.31
2024-09-11,236.12
2024-09-12,237.69
2024-09-13,242.84
2024-09-14,229.54
2024-09-15,232.22
2024-09-16,231.32
2024-09-17,220.9
2024-09-18,224.09
2024-09-19,207.86
2024-09-20,219.49
2024-09-21,224.77
2024-09-22,222.04
2024-09-23,239.45
2024-09-24,227.8
2024-09-25,236.92
2024-09-26,244.3
2024-09-27,255.56
2024-09-28,245.88
2024-09-29,263.4
2024-09-30,261.81
2024-10-01,260.5
2024-10-02,270.73
2024-10-03,271.66
2024-10-04,269.09
2024-10-05,272.99
2024-10-06,270.39
2024-10-07,271.73
2024-10-08,272.57
2024-10-09,274.63
2024-10-10,257.44
2024-10-11,270.87
2024-10-12,246.83
2024-10-13,252.23
2024-10-14,252.5
2024-10-15,247.89
2024-10-16,240.81
2024-10-17,240.98
2024-10-18,238.4
2024-10-19,237.6
2024-10-20,245.35
2024-10-21,244.3
2024-10-22,241.3
2024-10-23,252.27
2024-10-24,252.97
2024-10-25,259.67
2024-10-26,263.28
2024-10-27,260.69
2024-10-28,266.74
2024-10-29,277.81
2024-10-30,281.29
2024-10-31,281.79
2024-11-01,285.49
2024-11-02,293.54
2024-11-03,285.61
2024-11-04,291.86
2024-11-05,287.79
2024-11-06,286.56
2024-11-07,291.24
2024-11-08,287.31
2024-11-09,284.18
2024-11-10,283.21
2024-11-11,273.18
2024-11-12,272.88
2024-11-13,264.49
2024-11-14,264.59
2024-11-15,259.76
2024-11-16,258.99
2024-11-17,260.33
2024-11-18,252.94
2024-11-19,268.04
2024-11-20,253.97
2024-11-21,255.18
2024-11-22,270.05
2024-11-23,271.87
2024-11-24,275.21
2024-11-25,279.75
2024-11-26,281.26
2024-11-27,281.54
2024-11-28,290.93
2024-11-29,291.34
2024-11-30,303.25
2024-12-01,300.65
2024-12-02,299.51
2024-12-03,303.45
2024-12-04,307.67
2024-12-05,302.47
2024-12-06,300.02
2024-12-07,303.44
2024-12-08,300.89
2024-12-09,294.06
2024-12-10,290.81
2024-12-11,290.72
2024-12-12,278.71
2024-12-13,275.49
2024-12-14,275.86
2024-12-15,275.83
2024-12-16,276.54
2024-12-17,281.21
2024-12-18,277.8
2024-12-19,273.27
2024-12-20,275.39
2024-12-21,272.72
2024-12-22,280.65
2024-12-23,282.95
2024-12-24,290.18
2024-12-25,288.96
2024-12-26,300.4
2024-12-27,310.17
2024-12-28,306.49
2024-12-29,313.21
2024-12-30,318.31
